,repository,lines_of_code,cyclomatic_complexity,tlag,deps_depth
0,https://github.com/oliviertassinari/babel-plugin-transform-react-remove-prop-types,4239,1784,550,10.0
1,https://github.com/rollup/babel-preset-es2015-rollup,44,25,697,6.0
2,https://github.com/conventional-changelog/conventional-changelog,12637,6352,390,3.0
3,https://github.com/TehShrike/deepmerge,869,429,559,10.0
4,https://github.com/feross/eslint-config-standard-react,32,22,358,6.0
5,https://github.com/facebook/immutable-js,12199,4268,676,11.0
6,https://github.com/nikku/karma-browserify,2235,1403,1096,10.0
7,https://github.com/paulmillr/es6-shim,36905,16875,1044,8.0
8,https://github.com/sinonjs/lolex,4793,2904,408,9.0
9,https://github.com/stylelint/stylelint-config-standard,193,36,482,11.0
10,https://github.com/systemjs/systemjs,8175,2825,447,10.0
11,https://github.com/substack/faucet,235,124,1926,3.0
12,https://github.com/avevlad/gulp-connect,302,103,452,11.0
13,https://github.com/nodejs/readable-stream,24755,16150,319,9.0
14,https://github.com/emberjs/ember.js,131886,56610,253,10.0
15,https://github.com/indutny/node-ip,823,421,1583,11.0
16,https://github.com/raszi/node-tmp,2489,1047,474,6.0
17,https://github.com/jquery/esprima,74331,31843,602,11.0
18,https://github.com/goldhand/sw-precache-webpack-plugin,1096,490,660,9.0
19,https://github.com/grncdr/merge-stream,146,103,1619,5.0
20,https://github.com/gulpjs/vinyl,2086,1132,974,11.0
21,https://github.com/epoberezkin/ajv,10563,4969,312,10.0
22,https://github.com/scniro/gulp-clean-css,401,191,665,11.0
23,https://github.com/webpack-contrib/imports-loader,131,83,767,9.0
24,https://github.com/archiverjs/node-archiver,2446,1131,272,6.0
25,https://github.com/isaacs/inherits,55,38,921,9.0
26,https://github.com/pvorb/node-clone,932,584,326,10.0
27,https://github.com/nodesecurity/gulp-nsp,123,66,1141,11.0
28,https://github.com/karma-runner/grunt-karma,345,143,984,10.0
29,https://github.com/jaredhanson/passport,8256,4235,861,4.0
30,https://github.com/nightwatchjs/nightwatch,36005,15661,344,8.0
31,https://github.com/tracker1/gulp-header,301,173,453,11.0
32,https://github.com/auth0/node-jsonwebtoken,3991,1622,295,9.0
